Year-Month,CO2
1987-08-01,0.4908353746093419
1987-09-01,0.4385927865529182
1987-10-01,0.5187938170453583
1987-11-01,0.3895176957513302
1987-12-01,0.5197511051045978
1988-01-01,0.4729706900920685
1988-02-01,0.4309344820790044
1988-03-01,0.5840864937917052
1988-04-01,0.5045189627502322
1988-05-01,0.5025621533350226
1988-06-01,0.5438381620069264
1988-07-01,0.5202719824309485
1988-08-01,0.5539459976912464
1988-09-01,0.48281104823042487
1988-10-01,0.550848889264296
1988-11-01,0.4922290734014696
1988-12-01,0.5914210096573473
1989-01-01,0.4817270602809922
1989-02-01,0.3649942281161134
1989-03-01,0.5909423656277273
1989-04-01,0.4694653264633837
1989-05-01,0.5446405946448178
1989-06-01,0.5717825266773657
1989-07-01,0.53437790353915
1989-08-01,0.6143536897823576
